Category,Reference,Text
Motivation,Revelation 3:8,"I know your deeds. See, I have placed before you an open door that no one can shut. I know that you have little strength, yet you have kept my word and have not denied my name. Read full chapter Cross references Revelation 3:8 : S Rev 2:2 Revelation 3:8 : S Ac 14:27 Revelation 3:8 : Rev 2:13 Revelation 3:8 in all English translations"
Motivation,Psalm 37:4-5,"Take delight in the Lord , and he will give you the desires of your heart. Commit your way to the Lord ; trust in him and he will do this: Read full chapter Cross references Psalm 37:4 : S Job 27:10 Psalm 37:4 : S Job 7:6; Ps 21:2; 145:19; Mt 6:33 Psalm 37:5 : Ps 4:5"
Motivation,Matthew 6:33,"But seek first his kingdom and his righteousness, and all these things will be given to you as well. Read full chapter Cross references Matthew 6:33 : S Mt 3:2 Matthew 6:33 : Ps 37:4; Mt 19:29 Matthew 6:33 in all English translations"
Motivation,John 15:5,"�I am the vine; you are the branches. If you remain in me and I in you, you will bear much fruit; apart from me you can do nothing. Read full chapter Cross references John 15:5 : ver 16 John 15:5 in all English translations"
Motivation,Romans 14:8,"If we live, we live for the Lord; and if we die, we die for the Lord. So, whether we live or die, we belong to the Lord. Read full chapter Cross references Romans 14:8 : Php 1:20 Romans 14:8 in all English translations"
Motivation,Isaiah 43:2,"When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze. Read full chapter Cross references Isaiah 43:2 : S Isa 8:7 Isaiah 43:2 : S Ge 26:3; S Ex 14:22 Isaiah 43:2 : Isa 29:6; 30:27 Isaiah 43:2 : Ps 66:12; Da 3:25-27 Isaiah 43:2 in all English translations"
Motivation,Micah 6:8,"He has shown you, O mortal, what is good. And what does the Lord require of you? To act justly and to love mercy and to walk humbly with your God. Read full chapter Footnotes Micah 6:8 Or prudently Cross references Micah 6:8 : S Isa 1:17; S Jer 22:3 Micah 6:8 : S 2Ki 22:19; S Isa 57:15 Micah 6:8 : S Ge 5:22; Dt 10:12-13; 1Sa 15:22; Hos 6:6; Zec 7:9-10; Mt 9:13; 23:23; Mk 12:33; Lk 11:42 Micah 6:8 in all English translations"
Motivation,Pslam 90:17,"""May the favor of the Lord our God rest on us; establish the work of our hands for us�yes, establish the work of our hands."""
Motivation,Luke 1:45,Blessed is she who has believed that the Lord would fulfill his promises to her!� Read full chapter Luke 1:45 in all English translations
Motivation,Hebrews 13:5-6,"Keep your lives free from the love of money and be content with what you have, because God has said, �Never will I leave you; never will I forsake you.� So we say with confidence, �The Lord is my helper; I will not be afraid. What can mere mortals do to me?� Read full chapter Footnotes Hebrews 13:5 Deut. 31:6 Hebrews 13:6 Psalm 118:6,7 Cross references Hebrews 13:5 : S 1Ti 3:3 Hebrews 13:5 : Php 4:11; 1Ti 6:6, 8 Hebrews 13:5 : Dt 31:6, 8; Jos 1:5 Hebrews 13:6 : Ps 118:6, 7"
Motivation,Psalm 138:8,"The Lord will vindicate me; your love, Lord , endures forever � do not abandon the works of your hands. Read full chapter Cross references Psalm 138:8 : Php 1:6 Psalm 138:8 : S Ezr 3:11; Ps 100:5 Psalm 138:8 : S Ps 51:11 Psalm 138:8 : S Job 10:3, 8 Psalm 138:8 in all English translations"
Motivation,John 13:7,"Jesus replied, �You do not realize now what I am doing, but later you will understand.� Read full chapter Cross references John 13:7 : ver 12 John 13:7 in all English translations"
Anxiety,1 Peter 5:7,Cast all your anxiety on him because he cares for you. Read full chapter Cross references 1 Peter 5:7 : Ps 37:5; Mt 6:25 1 Peter 5:7 : Ps 55:22; Heb 13:5 1 Peter 5:7 in all English translations
Anxiety,Matthew 6:34,"Therefore do not worry about tomorrow, for tomorrow will worry about itself. Each day has enough trouble of its own. Read full chapter Matthew 6:34 in all English translations"
Anxiety,Psalm 94:19,"When anxiety was great within me, your consolation brought me joy. Read full chapter Cross references Psalm 94:19 : Ecc 11:10 Psalm 94:19 : S Job 6:10 Psalm 94:19 in all English translations"
Anxiety,Isaiah 41:10,"So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand. Read full chapter Cross references Isaiah 41:10 : S Ge 15:1 Isaiah 41:10 : S Dt 3:22; Jos 1:9; Isa 43:2, 5; Jer 30:10; 46:27-28; Ro 8:31 Isaiah 41:10 : S Ps 68:35; S 119:28 Isaiah 41:10 : ver 13-14; Isa 44:2; 49:8; 50:7, 9 Isaiah 41:10 : S Ps 18:35; S 119:117 Isaiah 41:10 : S Ex 3:20; S Job 40:14 Isaiah 41:10 in all English translations"
Anxiety,Philippians 4:6-7,"Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus. Read full chapter Cross references Philippians 4:6 : Mt 6:25-34 Philippians 4:6 : Eph 6:18; 1Ti 2:1 Philippians 4:7 : Isa 26:3; S Jn 14:27 Philippians 4:7 : Eph 3:19"
Anxiety,John 14:27,Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid. Read full chapter Cross references John 14:27 : Nu 6:26; Ps 85:8; Mal 2:6; S Lk 2:14; 24:36; Jn 16:33; Php 4:7; Col 3:15 John 14:27 : ver 1 John 14:27 in all English translations
Anxiety,Psalm 23:1-4,"Psalm 23 A psalm of David. The Lord is my shepherd, I lack nothing. He makes me lie down in green pastures, he leads me beside quiet waters, he refreshes my soul. He guides me along the right paths for his name�s sake. Even though I walk through the darkest valley, I will fear no evil, for you are with me; your rod and your staff, they comfort me. Read full chapter Footnotes Psalm 23:4 Or the valley of the shadow of death Cross references Psalm 23:1 : S Ge 48:15; S Ps 28:9; S Jn 10:11 Psalm 23:1 : Ps 34:9, 10; 84:11; 107:9; Php 4:19 Psalm 23:2 : Ps 36:8; 46:4; Rev 7:17 Psalm 23:3 : S Ps 19:7 Psalm 23:3 : Ps 25:9; 73:24; Isa 42:16 Psalm 23:3 : S Ps 5:8 Psalm 23:3 : Ps 25:11; 31:3; 79:9; 106:8; 109:21; 143:11 Psalm 23:4 : S Job 3:5; Ps 107:14 Psalm 23:4 : Ps 3:6; 27:1 Psalm 23:4 : Ps 16:8; Isa 43:2"
Anxiety,Proverbs 12:25,"Anxiety weighs down the heart, but a kind word cheers it up. Read full chapter Cross references Proverbs 12:25 : Pr 15:13 Proverbs 12:25 in all English translations"
Anxiety,Luke 12:25-26,"Who of you by worrying can add a single hour to your life ? Since you cannot do this very little thing, why do you worry about the rest? Read full chapter Footnotes Luke 12:25 Or single cubit to your height"
Anxiety,Joshua 1:9,"Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.� Read full chapter Cross references Joshua 1:9 : S Dt 31:6; Jos 10:8; 2Ki 19:6; Isa 35:4; 37:6 Joshua 1:9 : S Dt 1:21; Job 4:5 Joshua 1:9 : S ver 7; Dt 31:7-8; Jer 1:8 Joshua 1:9 in all English translations"
Anxiety,2 Timothy 1:7,"For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline. Read full chapter Cross references 2 Timothy 1:7 : Jer 42:11; Ro 8:15; 1Co 16:10, 11; 1Ti 4:12; Heb 2:15 2 Timothy 1:7 : Isa 11:2 2 Timothy 1:7 in all English translations"
Anxiety,Pslam 56:3,"""When I am afraid, I put my trust in you."""
Anxiety,Matthew 11:28-30,"�Come to me, all you who are weary and burdened, and I will give you rest. Take my yoke upon you and learn from me, for I am gentle and humble in heart, and you will find rest for your souls. For my yoke is easy and my burden is light.� Read full chapter Cross references Matthew 11:28 : Jn 7:37 Matthew 11:28 : Ex 33:14 Matthew 11:29 : Jn 13:15; Php 2:5; 1Pe 2:21; 1Jn 2:6 Matthew 11:29 : Ps 116:7; Jer 6:16 Matthew 11:30 : 1Jn 5:3"
Anxiety,Romans 8:38-39,"For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord. Read full chapter Footnotes Romans 8:38 Or nor heavenly rulers Cross references Romans 8:38 : 1Co 3:22 Romans 8:38 : Eph 1:21; Col 1:16; 1Pe 3:22 Romans 8:39 : S Ro 5:8 Romans 8:39 : ver 1; S Ro 16:3"
Anxiety,Isaiah 26:3,"You will keep in perfect peace those whose minds are steadfast, because they trust in you. Read full chapter Cross references Isaiah 26:3 : S Job 22:21; S Isa 9:6, 7; Php 4:7 Isaiah 26:3 : S 1Ch 5:20; S Ps 22:5; S 28:7; S Isa 12:2 Isaiah 26:3 in all English translations"
Anxiety,Romans 15:13,"May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit. Read full chapter Cross references Romans 15:13 : Ro 14:17 Romans 15:13 : ver 19; 1Co 2:4; 4:20; 1Th 1:5 Romans 15:13 in all English translations"
Anxiety,Hebrews 13:5-6,"Keep your lives free from the love of money and be content with what you have, because God has said, �Never will I leave you; never will I forsake you.� So we say with confidence, �The Lord is my helper; I will not be afraid. What can mere mortals do to me?� Read full chapter Footnotes Hebrews 13:5 Deut. 31:6 Hebrews 13:6 Psalm 118:6,7 Cross references Hebrews 13:5 : S 1Ti 3:3 Hebrews 13:5 : Php 4:11; 1Ti 6:6, 8 Hebrews 13:5 : Dt 31:6, 8; Jos 1:5 Hebrews 13:6 : Ps 118:6, 7"
Anxiety,Lamentations 3:22-23,"Because of the Lord �s great love we are not consumed, for his compassions never fail. They are new every morning; great is your faithfulness. Read full chapter Cross references Lamentations 3:22 : S Ps 103:11 Lamentations 3:22 : S Job 34:15; S Hos 11:9 Lamentations 3:22 : Ps 78:38; 130:7 Lamentations 3:23 : S Ex 34:6; Zep 3:5"
Anxiety,Psalm 46:1-3,"Psalm 46 For the director of music. Of the Sons of Korah. According to alamoth. A song. God is our refuge and strength, an ever-present help in trouble. Therefore we will not fear, though the earth give way and the mountains fall into the heart of the sea, though its waters roar and foam and the mountains quake with their surging. Read full chapter Footnotes Psalm 46:1 In Hebrew texts 46:1-11 is numbered 46:2-12. Psalm 46:1 Title: Probably a musical term Psalm 46:3 The Hebrew has Selah (a word of uncertain meaning) here and at the end of verses 7 and 11. Cross references Psalm 46:1 : Ps 9:9; 37:39; 61:3; 73:26; 91:2, 9; 142:5; Isa 33:16; Jer 16:19; 17:17; Joel 3:16; Na 1:7 Psalm 46:1 : Ps 18:1 Psalm 46:1 : Ps 34:18; La 3:57 Psalm 46:1 : Ps 18:6; Lk 1:54 Psalm 46:1 : S Dt 4:30; Ps 25:17 Psalm 46:2 : S Ge 4:7; Ps 3:6 Psalm 46:2 : Ps 82:5; Isa 13:13; 24:1, 19, 20; Jer 4:23; Da 11:19; Am 8:14; S Rev 6:14 Psalm 46:2 : ver 6; Ps 18:7; 97:5; Isa 54:10; Am 9:5; Mic 1:4; Na 1:5; Hab 3:6 Psalm 46:2 : Ex 15:8 Psalm 46:3 : Ps 93:3; Isa 17:13; Jer 5:22; Eze 1:24; Rev 19:6 Psalm 46:3 : S Job 9:26 Psalm 46:3 : S Jdg 5:5"
Anxiety,Deuteronomy 31:6,"Be strong and courageous. Do not be afraid or terrified because of them, for the Lord your God goes with you; he will never leave you nor forsake you.� Read full chapter Cross references Deuteronomy 31:6 : ver 7, 23; Jos 1:6, 9, 18; 10:25; 1Ch 22:13; 28:20; 2Ch 32:7 Deuteronomy 31:6 : Jer 1:8, 17; Eze 2:6 Deuteronomy 31:6 : S Ge 28:15; S Dt 1:29; 20:4; S Mt 28:20 Deuteronomy 31:6 : Ps 56:9; 118:6 Deuteronomy 31:6 : S Dt 4:31; 1Sa 12:22; 1Ki 6:13; Ps 94:14; Isa 41:17; Heb 13:5* Deuteronomy 31:6 in all English translations"
Anxiety,Psalm 121:1-2,"Psalm 121 A song of ascents. I lift up my eyes to the mountains� where does my help come from? My help comes from the Lord , the Maker of heaven and earth. Read full chapter Cross references Psalm 121:2 : S Ge 1:1 Psalm 121:2 : S Ps 104:5; Ps 115:15"
Anxiety,2 Thessalonians 3:16,Final Greetings Now may the Lord of peace himself give you peace at all times and in every way. The Lord be with all of you. Read full chapter Cross references 2 Thessalonians 3:16 : S Ro 15:33 2 Thessalonians 3:16 : Ru 2:4 2 Thessalonians 3:16 in all English translations
Anxiety,1 John 4:18,"There is no fear in love. But perfect love drives out fear, because fear has to do with punishment. The one who fears is not made perfect in love. Read full chapter Cross references 1 John 4:18 : Ro 8:15 1 John 4:18 in all English translations"
Anxiety,Exodus 14:14,"The Lord will fight for you; you need only to be still.� Read full chapter Cross references Exodus 14:14 : ver 25; Ex 15:3; Dt 1:30; 3:22; 20:4; Jos 10:14; 23:3, 10; 2Sa 5:24; 2Ch 20:29; Ne 4:20; Ps 24:8; 35:1; Isa 42:13; Jer 41:12 Exodus 14:14 : 1Sa 12:16; Ps 37:7; 46:10; 116:7; Isa 28:12; 30:15; Zec 2:13 Exodus 14:14 in all English translations"
Anxiety,Isaiah 40:29-31,"He gives strength to the weary and increases the power of the weak. Even youths grow tired and weary, and young men stumble and fall; but those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint. Read full chapter Cross references Isaiah 40:29 : S Ge 18:14; S Ps 68:35; S 119:28 Isaiah 40:29 : Isa 50:4; 57:19; Jer 31:25 Isaiah 40:30 : Isa 9:17; Jer 6:11; 9:21 Isaiah 40:30 : S Ps 20:8; Isa 5:27 Isaiah 40:31 : S Ps 37:9; 40:1; S Isa 30:18; Lk 18:1 Isaiah 40:31 : S 1Sa 2:4; S 2Ki 6:33; S 2Co 4:16 Isaiah 40:31 : S Ex 19:4 Isaiah 40:31 : 2Co 4:1; Heb 12:1-3"
Anxiety,Zephaniah 3:17,"The Lord your God is with you, the Mighty Warrior who saves. He will take great delight in you; in his love he will no longer rebuke you, but will rejoice over you with singing.� Read full chapter Cross references Zephaniah 3:17 : S Isa 63:1; S Joel 2:21 Zephaniah 3:17 : S Dt 28:63; S Isa 62:4 Zephaniah 3:17 : S Hos 14:4 Zephaniah 3:17 : S Isa 40:1 Zephaniah 3:17 in all English translations"
Anxiety,Isaiah 43:2,"When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze. Read full chapter Cross references Isaiah 43:2 : S Isa 8:7 Isaiah 43:2 : S Ge 26:3; S Ex 14:22 Isaiah 43:2 : Isa 29:6; 30:27 Isaiah 43:2 : Ps 66:12; Da 3:25-27 Isaiah 43:2 in all English translations"
Anxiety,Proverbs 3:5-6,"Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight. Read full chapter Footnotes Proverbs 3:6 Or will direct your paths Cross references Proverbs 3:5 : S Ps 4:5 Proverbs 3:6 : S Job 33:11; S Isa 30:11 Proverbs 3:6 : Ps 5:8; Pr 16:3; Isa 40:3; Jer 42:3"
Anxiety,Pslam 55:22,"""Cast your cares on the Lord and he will sustain you; he will never let the righteous be shaken."""
Anxiety,Hebrews 4:16,"Let us then approach God�s throne of grace with confidence, so that we may receive mercy and find grace to help us in our time of need. Read full chapter Cross references Hebrews 4:16 : S Heb 7:19 Hebrews 4:16 : S Eph 3:12 Hebrews 4:16 in all English translations"
Anxiety,Matthew 10:29-31,Are not two sparrows sold for a penny? Yet not one of them will fall to the ground outside your Father�s care. And even the very hairs of your head are all numbered. So don�t be afraid; you are worth more than many sparrows. Read full chapter Footnotes Matthew 10:29 Or will ; or knowledge Cross references Matthew 10:30 : 1Sa 14:45; 2Sa 14:11; 1Ki 1:52; Lk 21:18; Ac 27:34 Matthew 10:31 : Mt 6:26; 12:12
Anxiety,Psalm 34:17-18,"The righteous cry out, and the Lord hears them; he delivers them from all their troubles. The Lord is close to the brokenhearted and saves those who are crushed in spirit. Read full chapter Cross references Psalm 34:17 : Ps 145:19 Psalm 34:18 : Dt 4:7; Ps 119:151; 145:18; Isa 50:8 Psalm 34:18 : Ps 51:17; 109:16; 147:3; Isa 61:1"
Anxiety,Psalm 139:23-24,"Search me, God, and know my heart; test me and know my anxious thoughts. See if there is any offensive way in me, and lead me in the way everlasting. Read full chapter Cross references Psalm 139:23 : Job 31:6 Psalm 139:23 : S 1Sa 16:7; S 1Ch 29:17; S Ps 7:9; Pr 17:3; Jer 11:20; S Rev 2:23 Psalm 139:24 : Jer 25:5; 36:3 Psalm 139:24 : Ps 5:8; 23:2; 143:10"
Anxiety,Isaiah 12:2,"Surely God is my salvation; I will trust and not be afraid. The Lord , the Lord himself, is my strength and my defense ; he has become my salvation. � Read full chapter Footnotes Isaiah 12:2 Or song Cross references Isaiah 12:2 : Isa 17:10; 25:9; 33:6; 45:17; 51:5, 6; 54:8; 59:16; 61:10; 62:11 Isaiah 12:2 : S Job 13:15; S Ps 26:1; S 112:7; Isa 26:3; Da 6:23 Isaiah 12:2 : Isa 26:4; 38:11 Isaiah 12:2 : S Ps 18:1 Isaiah 12:2 : S Ex 15:2 Isaiah 12:2 in all English translations"
Anxiety,Luke 10:41-42,"�Martha, Martha,� the Lord answered, �you are worried and upset about many things, but few things are needed�or indeed only one. Mary has chosen what is better, and it will not be taken away from her.� Read full chapter Footnotes Luke 10:42 Some manuscripts but only one thing is needed Cross references Luke 10:41 : Mt 6:25-34; Lk 12:11, 22 Luke 10:42 : Ps 27:4"
Anxiety,2 Corinthians 12:9,"But he said to me, �My grace is sufficient for you, for my power is made perfect in weakness. � Therefore I will boast all the more gladly about my weaknesses, so that Christ�s power may rest on me. Read full chapter Cross references 2 Corinthians 12:9 : S Ro 3:24 2 Corinthians 12:9 : S Php 4:13 2 Corinthians 12:9 : S 1Co 2:3 2 Corinthians 12:9 : 1Ki 19:12 2 Corinthians 12:9 in all English translations"
Anxiety,James 1:2-4,"Trials and Temptations Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds, because you know that the testing of your faith produces perseverance. Let perseverance finish its work so that you may be mature and complete, not lacking anything. Read full chapter Footnotes James 1:2 The Greek word for brothers and sisters ( adelphoi ) refers here to believers, both men and women, as part of God�s family; also in verses 16 and 19; and in 2:1, 5, 14; 3:10, 12; 4:11; 5:7, 9, 10, 12, 19. Cross references James 1:2 : ver 12; S Mt 5:12; Heb 10:34; 12:11 James 1:3 : 1Pe 1:7 James 1:3 : S Heb 10:36 James 1:4 : S 1Co 2:6"
Anxiety,Genesis 50:20,"You intended to harm me, but God intended it for good to accomplish what is now being done, the saving of many lives. Read full chapter Cross references Genesis 50:20 : Ge 37:20 Genesis 50:20 : Isa 10:7; Mic 4:11-12 Genesis 50:20 : Ro 8:28 Genesis 50:20 : S Ge 45:5; Est 4:14 Genesis 50:20 in all English translations"
Anxiety,Psalm 112:7,"They will have no fear of bad news; their hearts are steadfast, trusting in the Lord . Read full chapter Cross references Psalm 112:7 : Ps 57:7; 108:1 Psalm 112:7 : S Ps 28:7; 56:3-4; S Isa 12:2 Psalm 112:7 in all English translations"
Anxiety,Ecclesiastes 3:1,"A Time for Everything There is a time for everything, and a season for every activity under the heavens: Read full chapter Cross references Ecclesiastes 3:1 : ver 11, 17; Ecc 8:6 Ecclesiastes 3:1 in all English translations"
Anxiety,Romans 12:12,"Be joyful in hope, patient in affliction, faithful in prayer. Read full chapter Cross references Romans 12:12 : Ro 5:2 Romans 12:12 : Heb 10:32, 36 Romans 12:12 : S Lk 18:1 Romans 12:12 in all English translations"
Anxiety,Colossians 3:15,"Let the peace of Christ rule in your hearts, since as members of one body you were called to peace. And be thankful. Read full chapter Cross references Colossians 3:15 : S Jn 14:27 Colossians 3:15 : S Ro 12:5 Colossians 3:15 : S Ro 14:19 Colossians 3:15 in all English translations"
Anxiety,John 16:33,"�I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.� Read full chapter Cross references John 16:33 : S Jn 14:27 John 16:33 : Jn 15:18-21 John 16:33 : Ro 8:37; 1Jn 4:4; 5:4; Rev 2:7, 11, 17, 26; 3:5, 12, 21; 21:7 John 16:33 in all English translations"
Anxiety,Psalm 16:8,"I keep my eyes always on the Lord . With him at my right hand, I will not be shaken. Read full chapter Cross references Psalm 16:8 : 1Ki 2:19; 1Ch 6:39; Ps 73:23 Psalm 16:8 : Ps 15:5 Psalm 16:8 in all English translations"
Anxiety,Romans 5:1,"Peace and Hope Therefore, since we have been justified through faith, we have peace with God through our Lord Jesus Christ, Read full chapter Footnotes Romans 5:1 Many manuscripts let us Cross references Romans 5:1 : S Ro 4:25 Romans 5:1 : S Ro 3:28 Romans 5:1 : S Lk 2:14 Romans 5:1 : ver 10 Romans 5:1 in all English translations"
Anxiety,Ephesians 2:14,"For he himself is our peace, who has made the two groups one and has destroyed the barrier, the dividing wall of hostility, Read full chapter Cross references Ephesians 2:14 : ver 15; S Jn 14:27 Ephesians 2:14 : 1Co 12:13; Eph 3:6 Ephesians 2:14 in all English translations"
Anxiety,Luke 12:6-7,"Are not five sparrows sold for two pennies? Yet not one of them is forgotten by God. Indeed, the very hairs of your head are all numbered. Don�t be afraid; you are worth more than many sparrows. Read full chapter Cross references Luke 12:7 : S Mt 10:30 Luke 12:7 : Mt 12:12"
Anxiety,Matthew 6:27,Can any one of you by worrying add a single hour to your life ? Read full chapter Footnotes Matthew 6:27 Or single cubit to your height Cross references Matthew 6:27 : Ps 39:5 Matthew 6:27 in all English translations
Anxiety,Psalm 27:1,"Psalm 27 Of David. The Lord is my light and my salvation � whom shall I fear? The Lord is the stronghold of my life� of whom shall I be afraid? Read full chapter Cross references Psalm 27:1 : S 2Sa 22:29 Psalm 27:1 : S Ex 15:2; S Ps 3:8 Psalm 27:1 : Ps 9:9 Psalm 27:1 : S Job 13:15; Ps 56:4, 11; 118:6 Psalm 27:1 in all English translations"
Anxiety,1 Corinthians 10:13,"No temptation has overtaken you except what is common to mankind. And God is faithful; he will not let you be tempted beyond what you can bear. But when you are tempted, he will also provide a way out so that you can endure it. Read full chapter Footnotes 1 Corinthians 10:13 The Greek for temptation and tempted can also mean testing and tested . 1 Corinthians 10:13 The Greek for temptation and tempted can also mean testing and tested . 1 Corinthians 10:13 The Greek for temptation and tempted can also mean testing and tested . Cross references 1 Corinthians 10:13 : S 1Co 1:9 1 Corinthians 10:13 : 2Pe 2:9 1 Corinthians 10:13 in all English translations"
Gratitude,1 Thessalonians 5:18,give thanks in all circumstances; for this is God�s will for you in Christ Jesus. Read full chapter Cross references 1 Thessalonians 5:18 : S Eph 5:20 1 Thessalonians 5:18 in all English translations
Gratitude,Psalm 107:1,"BOOK V Psalms 107�150 Psalm 107 Give thanks to the Lord , for he is good; his love endures forever. Read full chapter Cross references Psalm 107:1 : S 1Ch 16:8; S 2Ch 5:13 Psalm 107:1 : S 2Ch 7:3 Psalm 107:1 in all English translations"
Gratitude,Colossians 3:15,"Let the peace of Christ rule in your hearts, since as members of one body you were called to peace. And be thankful. Read full chapter Cross references Colossians 3:15 : S Jn 14:27 Colossians 3:15 : S Ro 12:5 Colossians 3:15 : S Ro 14:19 Colossians 3:15 in all English translations"
Gratitude,Ephesians 5:20,"always giving thanks to God the Father for everything, in the name of our Lord Jesus Christ. Read full chapter Cross references Ephesians 5:20 : ver 4; Job 1:21; Ps 34:1; Col 3:17; Heb 13:15 Ephesians 5:20 in all English translations"
Gratitude,Psalm 100:4,Enter his gates with thanksgiving and his courts with praise; give thanks to him and praise his name. Read full chapter Cross references Psalm 100:4 : S Ps 42:4 Psalm 100:4 : S Ps 96:8 Psalm 100:4 : Ps 116:17 Psalm 100:4 in all English translations
Gratitude,Hebrews 12:28,"Therefore, since we are receiving a kingdom that cannot be shaken, let us be thankful, and so worship God acceptably with reverence and awe, Read full chapter Cross references Hebrews 12:28 : Ps 15:5; Da 2:44 Hebrews 12:28 : Mal 2:5; 4:2; Heb 13:15 Hebrews 12:28 in all English translations"
Gratitude,James 1:17,"Every good and perfect gift is from above, coming down from the Father of the heavenly lights, who does not change like shifting shadows. Read full chapter Cross references James 1:17 : Ps 85:12; Jn 3:27; Jas 3:15, 17 James 1:17 : Ge 1:16; Ps 136:7; Da 2:22; 1Jn 1:5 James 1:17 : Nu 23:19; Ps 102:27; Mal 3:6 James 1:17 in all English translations"
Gratitude,Psalm 95:2,Let us come before him with thanksgiving and extol him with music and song. Read full chapter Cross references Psalm 95:2 : Ps 100:2; Mic 6:6 Psalm 95:2 : S Ps 42:4 Psalm 95:2 : Ps 81:2; S Eph 5:19 Psalm 95:2 in all English translations
Gratitude,Philippians 4:6,"Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. Read full chapter Cross references Philippians 4:6 : Mt 6:25-34 Philippians 4:6 : Eph 6:18; 1Ti 2:1 Philippians 4:6 in all English translations"
Gratitude,2 Corinthians 9:11,"You will be enriched in every way so that you can be generous on every occasion, and through us your generosity will result in thanksgiving to God. Read full chapter Cross references 2 Corinthians 9:11 : 1Co 1:5 2 Corinthians 9:11 : ver 5 2 Corinthians 9:11 : 2Co 1:11; 4:15 2 Corinthians 9:11 in all English translations"
Gratitude,Isaiah 12:4,"In that day you will say: �Give praise to the Lord , proclaim his name; make known among the nations what he has done, and proclaim that his name is exalted. Read full chapter Cross references Isaiah 12:4 : S Isa 10:20 Isaiah 12:4 : Ex 3:15; Ps 80:18; 105:1; Isa 24:15; 25:1; 26:8, 13; Hos 12:5 Isaiah 12:4 : Isa 54:5; 60:3; Jer 10:7; Zep 2:11; Mal 1:11 Isaiah 12:4 : S Ps 113:2 Isaiah 12:4 in all English translations"
Gratitude,Psalm 103:2,"Praise the Lord , my soul, and forget not all his benefits� Read full chapter Cross references Psalm 103:2 : Ps 106:1; 117:1 Psalm 103:2 : S Dt 6:12; Ps 77:11 Psalm 103:2 in all English translations"
Gratitude,Colossians 4:2,"Further Instructions Devote yourselves to prayer, being watchful and thankful. Read full chapter Cross references Colossians 4:2 : S Lk 18:1 Colossians 4:2 in all English translations"
Gratitude,Daniel 2:23,"I thank and praise you, God of my ancestors: You have given me wisdom and power, you have made known to me what we asked of you, you have made known to us the dream of the king. � Read full chapter Cross references Daniel 2:23 : S Ge 31:5; S Ex 3:15 Daniel 2:23 : S Da 1:17 Daniel 2:23 : S Eze 28:3 Daniel 2:23 in all English translations"
Gratitude,Psalm 118:24,The Lord has done it this very day; let us rejoice today and be glad. Read full chapter Cross references Psalm 118:24 : S Ps 70:4 Psalm 118:24 in all English translations
Gratitude,Psalm 28:7,"The Lord is my strength and my shield; my heart trusts in him, and he helps me. My heart leaps for joy, and with my song I praise him. Read full chapter Cross references Psalm 28:7 : S Ps 18:1 Psalm 28:7 : Ps 13:5; 112:7; Isa 26:3 Psalm 28:7 : S Dt 16:15; S Ps 16:9 Psalm 28:7 : Ps 33:3; 40:3; 69:30; 144:9; 149:1 Psalm 28:7 in all English translations"
Gratitude,Romans 1:21,"For although they knew God, they neither glorified him as God nor gave thanks to him, but their thinking became futile and their foolish hearts were darkened. Read full chapter Cross references Romans 1:21 : Ge 8:21; Jer 2:5; 17:9; Eph 4:17, 18 Romans 1:21 in all English translations"
Gratitude,1 Chronicles 16:34,"Give thanks to the Lord , for he is good; his love endures forever. Read full chapter Cross references 1 Chronicles 16:34 : S ver 8; Ps 105:1; Isa 12:4 1 Chronicles 16:34 : Ps 25:7; 34:8; 100:5; 135:3; 145:9; Na 1:7 1 Chronicles 16:34 : 2Ch 5:13; 7:3; Ezr 3:11; Ps 136:1-26; Jer 33:11 1 Chronicles 16:34 in all English translations"
Gratitude,Luke 17:15-16,"One of them, when he saw he was healed, came back, praising God in a loud voice. He threw himself at Jesus� feet and thanked him�and he was a Samaritan. Read full chapter Cross references Luke 17:15 : S Mt 9:8 Luke 17:16 : S Mt 10:5"
